run,step,blimp,lambada_openai
i1o1,17500,0.5293283582089552,0.0013584319813700757
i1o1,18000,0.5252835820895523,0.0017465554046186688
i1o1,18500,0.5249850746268657,0.0013584319813700757
i1o1,19000,0.5252388059701493,0.0019406171162429653
i1o1,final,0.524820895522388,0.0017465554046186688
i2o2,17500,0.4975522388059701,0.0009703085581214826
i2o2,18000,0.49922388059701495,0.0009703085581214826
i2o2,18500,0.4993283582089553,0.0009703085581214826
i2o2,19000,0.49817910447761193,0.0009703085581214826
i2o2,final,0.5019253731343283,0.0009703085581214826
i3o3,17500,0.5129253731343283,0.0011643702697457792
i3o3,18000,0.5133432835820896,0.0019406171162429653
i3o3,18500,0.5128805970149254,0.0015524936929943722
i3o3,19000,0.5112835820895523,0.0017465554046186688
i3o3,final,0.5110149253731343,0.0017465554046186688
i4o4,17500,0.5128208955223881,0.0015524936929943722
i4o4,18000,0.5151343283582089,0.0015524936929943722
i4o4,18500,0.5195970149253731,0.0019406171162429653
i4o4,19000,0.5131044776119403,0.0015524936929943722
i4o4,final,0.5128358208955223,0.0019406171162429653
i5o5,17500,0.5130895522388059,0.0017465554046186688
i5o5,18000,0.5170597014925373,0.0017465554046186688
i5o5,18500,0.518044776119403,0.0019406171162429653
i5o5,19000,0.5179850746268657,0.002134678827867262
i5o5,final,0.5172089552238807,0.002134678827867262
i6o6,17500,0.4904328358208954,0.0013584319813700757
i6o6,18000,0.49817910447761193,0.0015524936929943722
i6o6,18500,0.4969402985074627,0.0015524936929943722
i6o6,19000,0.4970298507462686,0.0015524936929943722
i6o6,final,0.4973432835820895,0.0015524936929943722
i7o7,17500,0.5086417910447762,0.0019406171162429653
i7o7,18000,0.5081492537313432,0.0015524936929943722
i7o7,18500,0.5041492537313433,0.0013584319813700757
i7o7,19000,0.5065820895522387,0.0015524936929943722
i7o7,final,0.5077611940298505,0.0015524936929943722
i8o8,17500,0.5129552238805969,0.0015524936929943722
i8o8,18000,0.5142089552238808,0.0017465554046186688
i8o8,18500,0.5184179104477613,0.0017465554046186688
i8o8,19000,0.5162089552238807,0.0019406171162429653
i8o8,final,0.5144179104477611,0.0017465554046186688
i9o9,17500,0.5114477611940298,0.0019406171162429653
i9o9,18000,0.5118656716417911,0.002522802251115855
i9o9,18500,0.5115223880597015,0.0023287405394915583
i9o9,19000,0.5116716417910447,0.0023287405394915583
i9o9,final,0.5112089552238805,0.0023287405394915583
i10o10,17500,0.5052537313432837,0.0009703085581214826
i10o10,18000,0.5014328358208955,0.0011643702697457792
i10o10,18500,0.5013283582089553,0.0013584319813700757
i10o10,19000,0.4966865671641791,0.0009703085581214826
i10o10,final,0.502268656716418,0.0011643702697457792
