task,size,estimand,B,boot_mean,lo,hi
olmes_10_macro_avg,16M,er_pick_latent,1000,0.008610144813166699,0.00182697081763763,0.02513024266809224
olmes_10_macro_avg,16M,noise_share,1000,0.40390124985910125,0.18594306997173832,0.7866495639209723
olmes_10_macro_avg,16M,discord_share,1000,0.5960987501408987,0.2133504360790277,0.8140569300282616
olmes_10_macro_avg,20M,mean_p_flip,1000,0.28327643226087096,0.19706419110298157,0.3873933047056198
olmes_10_macro_avg,20M,exp_errors,1000,80.488085,48.752875,119.9561875
olmes_10_macro_avg,20M,er_real_share,1000,0.16844072414934635,0.06096283160150051,0.3402157738804817
olmes_10_macro_avg,20M,er_pick_real,1000,0.010817083872767398,0.0011562576721189544,0.020413905475288627
olmes_10_macro_avg,20M,nas_weighted,1000,0.4464047807403524,0.28859957504310013,0.630729549076567
olmes_10_macro_avg,20M,share_pflip_gt25,1000,0.5494533333333332,0.3433333333333333,0.9234166666666666
olmes_10_macro_avg,20M,exp_errors_noise,1000,34.950925000000005,16.9544375,63.502874999999996
olmes_10_macro_avg,20M,exp_errors_discord,1000,45.53716,8.28675,87.56737499999998
olmes_10_macro_avg,20M,exp_errors_pros1,1000,108.66644931793213,83.40591621398926,135.9807804107666
olmes_10_macro_avg,20M,er_pick_latent,1000,0.010114192253302463,0.0008492446882883088,0.021701134042814374
olmes_10_macro_avg,20M,noise_share,1000,0.44463666862274875,0.23266500195770393,0.8652356270408371
olmes_10_macro_avg,20M,discord_share,1000,0.5553633313772511,0.13476437295916277,0.7673349980422961
olmes_10_macro_avg,60M,mean_p_flip,1000,0.1968052467033267,0.1443246740847826,0.27974007874727247
olmes_10_macro_avg,60M,exp_errors,1000,70.082885,46.39725,100.40799999999997
olmes_10_macro_avg,60M,er_real_share,1000,0.12662609213404358,0.051042742747813466,0.24122360870242116
olmes_10_macro_avg,60M,er_pick_real,1000,0.01386755739581713,0.0015100613207323478,0.02049959688447416
olmes_10_macro_avg,60M,nas_weighted,1000,0.39780465397665965,0.2587535583566455,0.5880926092368297
olmes_10_macro_avg,60M,share_pflip_gt25,1000,0.34179666666666664,0.23658333333333334,0.5166666666666667
olmes_10_macro_avg,60M,exp_errors_noise,1000,25.9575425,16.121437500000003,41.5615625
olmes_10_macro_avg,60M,exp_errors_discord,1000,44.1253425,14.834312500000001,77.40725
olmes_10_macro_avg,60M,exp_errors_pros1,1000,87.42720370101928,64.9773374557495,115.1629497528076
olmes_10_macro_avg,60M,er_pick_latent,1000,0.008225385225989158,0.0018924493808299303,0.01687897122465074
olmes_10_macro_avg,60M,noise_share,1000,0.3861838267158953,0.21227100090816395,0.7256523595038719
olmes_10_macro_avg,60M,discord_share,1000,0.6138161732841048,0.2743476404961279,0.7877289990918362
olmes_10_macro_avg,90M,mean_p_flip,1000,0.1039728205576539,0.0713427260518074,0.14377108328044413
olmes_10_macro_avg,90M,exp_errors,1000,61.03510000000001,31.208999999999996,96.7610625
olmes_10_macro_avg,90M,er_real_share,1000,0.11699992788862437,0.025057402905076742,0.2643365859985351
olmes_10_macro_avg,90M,er_pick_real,1000,0.0235089950007241,0.0028876948228571567,0.047515197191387415
olmes_10_macro_avg,90M,nas_weighted,1000,0.2592566429740135,0.12978788163001453,0.5283493215853632
olmes_10_macro_avg,90M,share_pflip_gt25,1000,0.16998333333333332,0.11,0.24666666666666667
olmes_10_macro_avg,90M,exp_errors_noise,1000,13.309045,7.819125,22.57631249999999
olmes_10_macro_avg,90M,exp_errors_discord,1000,47.72605500000001,11.820875000000001,84.22637499999999
olmes_10_macro_avg,90M,exp_errors_pros1,1000,68.55696781539918,41.12179498672485,100.8962308883667
olmes_10_macro_avg,90M,er_pick_latent,1000,0.01634422826854279,0.001609103218652308,0.03444377966225146
olmes_10_macro_avg,90M,noise_share,1000,0.24345844025995858,0.10705140392805063,0.6518504006087624
olmes_10_macro_avg,90M,discord_share,1000,0.7565415597400413,0.3481495993912377,0.8929485960719497
olmes_10_macro_avg,150M,mean_p_flip,1000,0.08833621904253959,0.0629046349786222,0.12658467814326285
olmes_10_macro_avg,150M,exp_errors,1000,56.483470000000004,25.349625,101.02199999999998
olmes_10_macro_avg,150M,er_real_share,1000,0.11400428972626105,0.018670145189389586,0.3020128399133682
olmes_10_macro_avg,150M,er_pick_real,1000,0.033395464430519495,0.001959878148045391,0.047759059071540835
olmes_10_macro_avg,150M,nas_weighted,1000,0.2382764605162157,0.1031288782392786,0.48677378704374863
olmes_10_macro_avg,150M,share_pflip_gt25,1000,0.14984666666666668,0.09666666666666666,0.22666666666666666
olmes_10_macro_avg,150M,exp_errors_noise,1000,10.852155,5.967312499999999,19.256249999999998
olmes_10_macro_avg,150M,exp_errors_discord,1000,45.631315,12.4544375,90.65368749999996
olmes_10_macro_avg,150M,exp_errors_pros1,1000,63.57958898735046,35.79637508392334,103.7307870864868
olmes_10_macro_avg,150M,er_pick_latent,1000,0.02728192531975219,0.0015648198139388114,0.046374596841633316
olmes_10_macro_avg,150M,noise_share,1000,0.22495853567298152,0.08322344888203582,0.5701432407773309
olmes_10_macro_avg,150M,discord_share,1000,0.7750414643270185,0.4298567592226692,0.9167765511179642
olmes_10_macro_avg,300M,mean_p_flip,1000,0.08749115212634206,0.06346259862184525,0.12939811199903486
olmes_10_macro_avg,300M,exp_errors,1000,44.3606875,19.85625,76.32281249999998
olmes_10_macro_avg,300M,er_real_share,1000,0.06774094545375556,0.009216544032096863,0.17864114679396145
olmes_10_macro_avg,300M,er_pick_real,1000,0.006157285315104673,0.0012914405611809344,0.018753026146441698
olmes_10_macro_avg,300M,nas_weighted,1000,0.26013597298140134,0.14262954555212154,0.46513908183823605
olmes_10_macro_avg,300M,share_pflip_gt25,1000,0.14422666666666667,0.09658333333333334,0.22666666666666666
olmes_10_macro_avg,300M,exp_errors_noise,1000,9.741485,5.627375,16.9375625
olmes_10_macro_avg,300M,exp_errors_discord,1000,34.6192025,9.052875,65.7953125
olmes_10_macro_avg,300M,exp_errors_pros1,1000,53.564022771835326,30.69197154045105,83.14337635040283
olmes_10_macro_avg,300M,er_pick_latent,1000,0.00639902527731465,0.0011785153124947102,0.016472699074074625
olmes_10_macro_avg,300M,noise_share,1000,0.24703356905473042,0.11271895744549272,0.5924859241659423
olmes_10_macro_avg,300M,discord_share,1000,0.7529664309452696,0.40751407583405763,0.887281042554507
olmes_10_macro_avg,530M,mean_p_flip,1000,0.09572259368374944,0.07189255524426699,0.12738350741565227
olmes_10_macro_avg,530M,exp_errors,1000,38.0220175,21.042875,62.320562499999994
olmes_10_macro_avg,530M,er_real_share,1000,0.03902106560813263,0.009538593539036811,0.09008051101118325
olmes_10_macro_avg,530M,er_pick_real,1000,0.008092322424286976,0.0015711372630903499,0.019032108364626765
olmes_10_macro_avg,530M,nas_weighted,1000,0.32685833586771285,0.20631113510232707,0.48584400039991565
olmes_10_macro_avg,530M,share_pflip_gt25,1000,0.16085333333333332,0.10991666666666668,0.22666666666666666
olmes_10_macro_avg,530M,exp_errors_noise,1000,11.6930625,6.774625,19.054499999999997
olmes_10_macro_avg,530M,exp_errors_discord,1000,26.328955,9.3624375,48.858625
olmes_10_macro_avg,530M,exp_errors_pros1,1000,48.16005052375793,32.58202362060547,67.84697017669677
olmes_10_macro_avg,530M,er_pick_latent,1000,0.0065697337005804005,0.0011157364031532779,0.015015281387604773
olmes_10_macro_avg,530M,noise_share,1000,0.3260576734308021,0.17643333065912897,0.6426571668095155
olmes_10_macro_avg,530M,discord_share,1000,0.6739423265691981,0.35734283319048443,0.8235666693408711
olmes_10_macro_avg,750M,mean_p_flip,1000,0.103678811006248,0.07650501914322376,0.139911238104105
olmes_10_macro_avg,750M,exp_errors,1000,45.228895,21.6243125,77.4466875
olmes_10_macro_avg,750M,er_real_share,1000,0.07171793772978709,0.01141036651097238,0.18670652545988545
olmes_10_macro_avg,750M,er_pick_real,1000,0.012437846451241057,0.0014139588427497076,0.02003816394135356
olmes_10_macro_avg,750M,nas_weighted,1000,0.29973391989837406,0.1565509054018333,0.5162725265691528
olmes_10_macro_avg,750M,share_pflip_gt25,1000,0.17139333333333334,0.11,0.25
olmes_10_macro_avg,750M,exp_errors_noise,1000,11.927620000000001,6.787,20.457749999999997
olmes_10_macro_avg,750M,exp_errors_discord,1000,33.301275000000004,7.8590625,65.42006249999999
olmes_10_macro_avg,750M,exp_errors_pros1,1000,57.41321879386902,37.22811231613159,83.83385658264159
olmes_10_macro_avg,750M,er_pick_latent,1000,0.007932540356210665,0.0009405028948094696,0.01632071840576827
olmes_10_macro_avg,750M,noise_share,1000,0.29274114871092893,0.12930857206706484,0.6845397299028536
olmes_10_macro_avg,750M,discord_share,1000,0.7072588512890711,0.3154602700971462,0.8706914279329351
arc_challenge,150M,mean_p_flip,1000,0.1070288908034563,0.07015745267271996,0.16485972702503202
arc_challenge,150M,exp_errors,1000,45.339235,28.90375,71.2003125
arc_challenge,150M,er_real_share,1000,0.0360857861158438,0.015245572081767023,0.06967148166149854
arc_challenge,150M,er_pick_real,1000,0.010224107988651782,2.426674507205462e-06,0.022260838793590663
arc_challenge,150M,nas_weighted,1000,0.3673848665731847,0.26045522140052535,0.5056939372343201
arc_challenge,150M,share_pflip_gt25,1000,0.18799333333333335,0.10333333333333333,0.32
arc_challenge,150M,exp_errors_noise,1000,16.1240175,8.2003125,29.2364375
arc_challenge,150M,exp_errors_discord,1000,29.215217499999998,13.7928125,46.168875
arc_challenge,150M,exp_errors_pros1,1000,49.10911912727356,34.99115905761719,69.60181541442871
arc_challenge,150M,er_pick_latent,1000,0.009381723636224137,0.0001316453290201025,0.02059103548526764
arc_challenge,150M,noise_share,1000,0.3566577310805901,0.225218844738783,0.5855391513437411
arc_challenge,150M,discord_share,1000,0.6433422689194099,0.4144608486562587,0.7747811552612169
arc_easy,150M,mean_p_flip,1000,0.04988186082430184,0.031515999138355254,0.07947484795004128
arc_easy,150M,exp_errors,1000,21.620269999999998,13.944562500000002,33.375812499999995
arc_easy,150M,er_real_share,1000,0.011826661181636154,0.004387324443086982,0.026366476807743306
arc_easy,150M,er_pick_real,1000,0.011805516883443716,0.0,0.025846817623823883
arc_easy,150M,nas_weighted,1000,0.33151923631594143,0.21188811374238878,0.43561263610204104
arc_easy,150M,share_pflip_gt25,1000,0.09230666666666666,0.05333333333333334,0.15333333333333332
arc_easy,150M,exp_errors_noise,1000,6.957582499999999,3.7748125000000003,12.528437499999999
arc_easy,150M,exp_errors_discord,1000,14.6626875,8.5970625,22.689249999999998
arc_easy,150M,exp_errors_pros1,1000,24.343651082992555,17.8881413936615,34.392008209228514
arc_easy,150M,er_pick_latent,1000,0.011445732357293082,0.0,0.025124082667753102
arc_easy,150M,noise_share,1000,0.32202039406255606,0.19587546059693003,0.44630690369898607
arc_easy,150M,discord_share,1000,0.6779796059374439,0.5536930963010139,0.8041245394030698
boolq,150M,mean_p_flip,1000,0.22490035496652128,0.15115209072828292,0.34238265529274936
boolq,150M,exp_errors,1000,121.18511,74.50493750000001,172.73999999999998
boolq,150M,er_real_share,996,0.31174070900867146,0.11838314309716225,0.6019962579011917
boolq,150M,er_pick_real,1000,0.04892779431864619,0.012344026635400952,0.07223053313791751
boolq,150M,nas_weighted,1000,0.2813775083213163,0.16375457777057859,0.458844294306315
boolq,150M,share_pflip_gt25,1000,0.43800666666666666,0.26666666666666666,0.7667499999999999
boolq,150M,exp_errors_noise,1000,28.892967499999997,17.2913125,51.130812500000005
boolq,150M,exp_errors_discord,1000,92.29214250000001,34.4849375,147.98093749999995
boolq,150M,exp_errors_pros1,1000,124.29465204620361,86.25151214599609,166.7153190612793
boolq,150M,er_pick_latent,1000,0.03207821533281822,0.007436420395970345,0.05332665545865893
boolq,150M,noise_share,1000,0.25481280586760835,0.11959010870355972,0.5698310091932302
boolq,150M,discord_share,1000,0.7451871941323917,0.43016899080677007,0.8804098912964402
csqa,150M,mean_p_flip,1000,0.1892074086293578,0.130389254540205,0.27536898180842395
csqa,150M,exp_errors,1000,78.739625,49.377375,112.81706249999999
csqa,150M,er_real_share,1000,0.19083055653236805,0.0640471087768674,0.3548749633133411
csqa,150M,er_pick_real,1000,0.007078571812642622,0.00032558734674239533,0.02741896524094045
csqa,150M,nas_weighted,1000,0.3495204182752879,0.22599901432370992,0.5085830246133473
csqa,150M,share_pflip_gt25,1000,0.3445,0.21333333333333335,0.5534999999999999
csqa,150M,exp_errors_noise,1000,25.4285425,14.7895,43.2891875
csqa,150M,exp_errors_discord,1000,53.3110825,20.1845625,87.07193749999999
csqa,150M,exp_errors_pros1,1000,89.99922946548462,62.79343938827515,120.13207416534424
csqa,150M,er_pick_latent,1000,0.0083976411956246,0.001940720030688681,0.021676168963313095
csqa,150M,noise_share,1000,0.3337215322062143,0.18410763698723925,0.6072072045482001
csqa,150M,discord_share,1000,0.6662784677937857,0.39279279545179924,0.8158923630127608
hellaswag,150M,mean_p_flip,1000,0.11305809177458287,0.087957021035254,0.15757863260805607
hellaswag,150M,exp_errors,1000,90.7140325,62.177125000000004,126.5925625
hellaswag,150M,er_real_share,1000,0.23038483138754964,0.12860394455492496,0.3638006918132303
hellaswag,150M,er_pick_real,1000,0.013282147061306631,0.0,0.040836389549076556
hellaswag,150M,nas_weighted,1000,0.18415384338968827,0.12465763223781219,0.2740986773298044
hellaswag,150M,share_pflip_gt25,1000,0.21017666666666668,0.14333333333333334,0.31666666666666665
hellaswag,150M,exp_errors_noise,1000,13.762505,8.9091875,21.158937499999997
hellaswag,150M,exp_errors_discord,1000,76.9515275,49.288625,112.27493750000001
hellaswag,150M,exp_errors_pros1,1000,94.32939822387695,68.63572254180909,127.1963897705078
hellaswag,150M,er_pick_latent,1000,0.012552482392304228,0.001654002393479459,0.024264463130384675
hellaswag,150M,noise_share,1000,0.15531132010882623,0.09429236243702797,0.2496558683464245
hellaswag,150M,discord_share,1000,0.8446886798911738,0.7503441316535754,0.9057076375629719
mmlu,150M,mean_p_flip,1000,0.08305899322777986,0.05887671764940024,0.12215898204594851
mmlu,150M,exp_errors,1000,29.5307825,16.872312500000003,45.785937499999996
mmlu,150M,er_real_share,1000,0.013524759299703874,0.0037958616623654964,0.030188082624226804
mmlu,150M,er_pick_real,1000,0.004009615831152672,0.0,0.019949111668393017
mmlu,150M,nas_weighted,1000,0.3380603384403901,0.2006585358223084,0.5168504757876032
mmlu,150M,share_pflip_gt25,1000,0.15067666666666668,0.09658333333333334,0.24666666666666667
mmlu,150M,exp_errors_noise,1000,9.2694925,4.937125,17.9123125
mmlu,150M,exp_errors_discord,1000,20.261290000000002,8.244250000000001,35.110625
mmlu,150M,exp_errors_pros1,1000,39.553304986953734,28.20287127494812,54.1129467010498
mmlu,150M,er_pick_latent,1000,0.0054001033813513575,0.0,0.019305121060460805
mmlu,150M,noise_share,1000,0.3219302659841214,0.1727107906653259,0.6242330110186426
mmlu,150M,discord_share,1000,0.6780697340158786,0.3757669889813573,0.8272892093346739
openbookqa,150M,mean_p_flip,1000,0.18228861078619957,0.1302671641111374,0.264580849558115
openbookqa,150M,exp_errors,1000,56.589352500000004,39.009875,83.1503125
openbookqa,150M,er_real_share,1000,0.08664282514341176,0.04061992550268769,0.16307265795767306
openbookqa,150M,er_pick_real,1000,0.02087117190011486,0.004888763383496553,0.03974160058423876
openbookqa,150M,nas_weighted,1000,0.3694148479250209,0.2415644428024374,0.5093607269460589
