n_recipes,n_pairs,mX,omX,mY,omY,rho,lamX,zetX,lamY,zetY,med_sigX,med_sigY,mean_p_flip,mean_p_flip_single,share_pflip_gt10,share_pflip_gt25,exp_errors,exp_errors_discord,exp_errors_noise,exp_discord_pairs,exp_errors_pros3,exp_errors_pros1,er_real,er_pros,er_real_share,er_pros_share,er_per_decision,er_pick_real,er_pick_pros,er_pick_latent,nas_c10,nas_c25,nas_weighted,task,size
25,300,0.34032325859909557,0.0,0.563280720326633,0.020624157424823028,0.0,-4.860131342857425,0.7191438040797634,-5.34497924955451,0.22063496516728862,0.0077494659872846695,0.004772050226480342,0.5,0.5,1.0,1.0,209.3165,209.3165,0.0,300.0,150.0,150.0,5.398210629937942,3.5595194265165366,0.7582780121558165,0.5,0.017994035433126474,0.05977651081752208,0.02766815891210359,0.04337729341828502,1.0,1.0,0.5,olmes_10_macro_avg,4M
25,300,0.3354578090321753,0.004148620148154883,0.563280720326633,0.020624157424823028,-0.26653442691375073,-5.238278000936449,0.5076043273206059,-5.34497924955451,0.22063496516728862,0.0053093917360658455,0.004772050226480342,0.2681470813139552,0.3246729509947352,0.8633333333333333,0.5066666666666667,167.3625,143.4845,23.878,176.914,171.06405611639306,166.45593169054695,4.147696736942035,4.253636544390584,0.5820375438511208,0.5969038538140027,0.013825655789806783,0.029888012176966596,0.03599903828383834,0.03528627906458123,0.811020987377698,0.4013458809470461,0.22970367053086405,olmes_10_macro_avg,6M
25,300,0.33999334682816623,0.002599709039322409,0.563280720326633,0.020624157424823028,0.45356264116586975,-5.148487529030014,0.22090707460426057,-5.34497924955451,0.22063496516728862,0.0058081827947477635,0.004772050226480342,0.3824598547450977,0.4223022425578073,1.0,0.8633333333333333,129.3345,72.15525,57.179249999999996,104.672,123.41324775648752,132.39883967005673,2.6938172900637625,2.608047926283758,0.3779735459615703,0.3659391178352185,0.008979390966879209,0.030669876420224677,0.0223936922834851,0.017851407813110596,1.0,0.9826573729360689,0.4651891880424297,olmes_10_macro_avg,8M
25,300,0.34189578838062656,0.0,0.563280720326633,0.020624157424823028,0.0,-5.003749614577985,0.3428619124989159,-5.34497924955451,0.22063496516728862,0.006712729602097245,0.004772050226480342,0.5,0.5,1.0,1.0,125.5575,125.5575,0.0,300.0,150.0,150.0,2.63902717524361,3.5579118451954344,0.37086742028295666,0.5,0.008796757250812033,0.012671379445234408,0.03160272902680333,0.043356660616242895,1.0,1.0,0.5,olmes_10_macro_avg,10M
25,300,0.35065250202035614,0.0022801188604151595,0.563280720326633,0.020624157424823028,0.8731223172760214,-4.874756697384286,0.3394248008671627,-5.34497924955451,0.22063496516728862,0.007636952083257102,0.004772050226480342,0.4426339766626792,0.4644990511231618,1.0,0.92,121.59775,29.85875,91.739,47.644,111.10437534982587,126.1786700153811,2.571527975681306,2.2128409575682335,0.3608957049788333,0.31055652706871295,0.008571759918937686,0.0018157272446796566,0.01628312037673066,0.004135855496008687,1.0,1.0,0.5862998727297642,olmes_10_macro_avg,14M
25,300,0.3519814069136526,0.005143691762720155,0.563280720326633,0.020624157424823028,0.7340249524500115,-5.122010507985671,0.5448794466942785,-5.34497924955451,0.22063496516728862,0.005964020123130411,0.004772050226480342,0.2680594766376935,0.3227555220277465,0.8433333333333334,0.45666666666666667,83.98075,48.3925,35.58825,71.41675000000001,91.04927527232321,105.05668309827001,1.778019350571459,1.6529912036844734,0.24915520813692693,0.23163491852332457,0.00592673116857153,0.006093748326722991,0.012430987672435848,0.006614037605883082,0.9942040288994799,0.7644489957520026,0.4333326062444681,olmes_10_macro_avg,16M
25,300,0.3548141606687632,0.005447994321132839,0.563280720326633,0.020624157424823028,0.8279174268521773,-4.903189099082074,0.02,-5.34497924955451,0.22063496516728862,0.007422873006655337,0.004772050226480342,0.27529914108628406,0.33741063620928863,0.8066666666666666,0.49333333333333335,77.73375,37.43000000000001,40.30375,55.3555,80.72518343506837,99.97733309656726,1.1592804199285274,1.2413764038895743,0.16284604766077018,0.1743782069960436,0.0038642680664284245,0.012023395281434986,0.010057211234367636,0.006735803798664463,1.0,0.9779471593741457,0.5064694522252989,olmes_10_macro_avg,20M
25,300,0.396418317598205,0.010199831066169575,0.563280720326633,0.020624157424823028,0.7788115094139734,-4.80350394406965,0.32215875359898766,-5.34497924955451,0.22063496516728862,0.008200960937567234,0.004772050226480342,0.1817985141583108,0.24120761156764586,0.5733333333333334,0.3233333333333333,66.8715,44.536500000000004,22.335,59.84375,71.77914036432782,85.34925868824968,0.8788257793867099,1.016908030442913,0.12332722122468959,0.14270455484716868,0.0029294192646223665,0.01930651691869248,0.009287221832028616,0.008925940052403032,0.9147020778657575,0.7632623763486687,0.3671052772769603,olmes_10_macro_avg,60M
25,300,0.41597046405769617,0.016337545786853373,0.563280720326633,0.020624157424823028,0.7972744050254973,-5.213190430133905,0.6156593542042034,-5.34497924955451,0.22063496516728862,0.005444276366551946,0.004772050226480342,0.0923128975974151,0.12852255462798354,0.31,0.14333333333333334,58.30175,47.79899999999999,10.502749999999999,56.45825,60.79657013696014,67.24995409748668,0.8200616935551304,0.7927825340425458,0.11495131182699034,0.11112748345388941,0.0027335389785171013,0.018773788896645792,0.018093826274721846,0.01858988088918125,0.6587924033155094,0.3930327991869884,0.21379479356893263,olmes_10_macro_avg,90M
25,300,0.43364158772483163,0.019961980170700767,0.563280720326633,0.020624157424823028,0.7905711830268748,-5.196807031890936,0.5139297427814461,-5.34497924955451,0.22063496516728862,0.005534206785793595,0.004772050226480342,0.07227128812322842,0.10204504079711486,0.21333333333333335,0.11666666666666667,52.370999999999995,45.32675,7.04425,53.285,56.55733310947102,61.62863507736033,0.7806621718081236,0.8093305586246623,0.10947053115331298,0.11349063568181382,0.0026022072393604117,0.04586600466496025,0.03287256294765234,0.03897795034239739,0.47983616887208574,0.3092789902808807,0.1651505089478888,olmes_10_macro_avg,150M
