size,task,metric,x_step,y_seed,ratio,n_runs_x,n_pts_med
14m,arc_challenge,acc,0.034736181717890884,0.03998753702956722,1.151178254257336,9,41
31m,arc_challenge,acc,0.03263844351587396,0.05867729952952435,1.7977971131186508,9,41
14m,arc_challenge,acc_norm,0.026753341547736384,0.03265300853093408,1.2205207514983065,9,41
31m,arc_challenge,acc_norm,0.02778467273871099,0.03100755109617234,1.1159948287953405,9,41
14m,blimp,acc,0.009623543916261553,0.024552103764292593,2.5512538808915544,10,4
31m,blimp,acc,0.009270675841195305,0.02162112843039381,2.3322062814792703,10,4
70m,blimp,acc,0.004115995785052687,0.021275810279701362,5.169055409863356,9,4
160m,blimp,acc,0.00409273094607794,0.016999326794474166,4.153541246283146,9,4
410m,blimp,acc,0.0070254575444378,0.009131421298221285,1.2997617935149035,8,4
