task,dd_bundled_relsd,sd_init,sd_order,bundled_pred,dd_over_sqrt_sum,dd_over_init_only
arc_challenge,0.02027027027027027,0.01810790801743637,0.024080965670680233,0.030129540992195954,0.672770629845327,1.1194153543717877
arc_easy,0.009322345137758533,0.008690202626406511,0.008515643367410187,0.012166996492516948,0.7661993774299222,1.0727419760537182
csqa,0.012980525066065533,0.012512469665855369,0.015922849602031195,0.020250902117877508,0.6409850282475228,1.0374071156781635
hellaswag,0.0039846060173525715,0.004275830345756035,0.012350262642815364,0.013069495494938162,0.30487833435466705,0.9318905791731148
mmlu,0.005627056840474844,0.004009921492320612,0.005428959994525178,0.006749301963664804,0.8337242681937153,1.4032835433938553
piqa,0.005196075790499415,0.006686980710186417,0.006406641538713715,0.009260710924328503,0.5610882180599093,0.7770436338457092
socialiqa,0.019964150431909192,0.01228872074023366,0.01882303786007152,0.022479310748177637,0.8881122137398121,1.624591432576536
winogrande,0.011579434923575646,0.012870986539832601,0.014536611313411121,0.019415853393187337,0.5963907271590058,0.8996540310053224
