metric_mode,task,metric,x_proxy,x_he,y_init,y_data,n_seed,n_data
primary_like,arc_challenge,acc_per_char,0.01853477852225583,0.01730417952780604,0.01810790801743637,0.024080965670680233,10,9
primary_like,arc_easy,acc_per_char,0.008670867342446867,0.005935743665828203,0.008690202626406511,0.008515643367410187,10,9
primary_like,boolq,acc,,0.02036718144908815,,0.016760471269246756,0,8
primary_like,copycolors,acc,0.1637324439424782,0.1485827647514936,0.12661552682325247,0.10714286888892624,10,9
primary_like,csqa,acc_per_char,0.010539901089682894,0.007901276854309833,0.012512469665855369,0.015922849602031195,10,9
primary_like,hellaswag,acc_per_char,0.013914154474799567,0.006842772444995054,0.004275830345756035,0.012350262642815364,10,9
primary_like,mmlu,acc_per_char,0.007116540255169536,0.004616974693022993,0.004009921492320612,0.005428959994525178,10,9
primary_like,openbookqa,acc_per_char,,0.02218127401057415,,0.04316094895950208,0,8
primary_like,piqa,acc_per_char,0.00681507347815743,0.003916317412510285,0.006686980710186417,0.006406641538713715,10,9
primary_like,socialiqa,acc_per_char,0.010235698365077154,0.01061040116002568,0.01228872074023366,0.01882303786007152,10,9
primary_like,winogrande,acc_per_char,0.011456633564935158,0.009532040172987317,0.012870986539832601,0.014536611313411121,10,9
bits_per_byte,arc_challenge,bits_per_byte,0.007236357927979003,0.004340689118365106,0.006207483037134717,0.006882007258002918,10,9
bits_per_byte,arc_easy,bits_per_byte,0.010984652871144102,0.006263519038137832,0.015230177851802158,0.010615641116895001,10,9
bits_per_byte,boolq,bits_per_byte,,0.018001149998864877,,0.033052994437758235,0,8
bits_per_byte,copycolors,bits_per_byte,0.04553950867162033,0.03906023619097316,0.0786040558705117,0.06317417121178188,10,9
bits_per_byte,csqa,bits_per_byte,0.010990674860739723,0.007601167593314052,0.0132598107003045,0.010879336976294842,10,9
bits_per_byte,gsm8k,bits_per_byte,0.008878879073484567,0.004817223996426526,0.012267934125967845,0.009035454508382846,10,9
bits_per_byte,hellaswag,bits_per_byte,0.003992347152974557,0.001626371690729818,0.003994581123639584,0.0021295854382107912,10,9
bits_per_byte,humaneval,bits_per_byte,0.01999242076305815,0.014489148844412006,0.029611343091017116,0.03431304047213512,10,9
bits_per_byte,mbpp,bits_per_byte,0.009548431775536428,0.008827301379614415,0.008791454905706939,0.013340287177770485,10,9
bits_per_byte,minerva_math_algebra,bits_per_byte,0.01008161814940969,0.003161502059941162,0.004843007562617188,0.0035291525186408753,10,9
bits_per_byte,minerva_math_counting_and_probability,bits_per_byte,0.009712854734555005,0.0027386596558525143,0.005039568275087533,0.0058543344922421265,10,9
bits_per_byte,minerva_math_geometry,bits_per_byte,0.010858220483172091,0.002508764984003937,0.00520937619049227,0.005863428330417233,10,9
bits_per_byte,minerva_math_intermediate_algebra,bits_per_byte,0.009168118251357712,0.003063480506784051,0.005258239715119763,0.004098319140959335,10,9
bits_per_byte,minerva_math_number_theory,bits_per_byte,0.008305958034717327,0.0024100036341817574,0.0034525676020409233,0.0029192200039743796,10,9
bits_per_byte,minerva_math_prealgebra,bits_per_byte,0.009471868352082278,0.002490848316973284,0.004161239776701766,0.003866332415592895,10,9
bits_per_byte,minerva_math_precalculus,bits_per_byte,0.010582211485178267,0.003385201401950426,0.0056479980257662064,0.006067133829969761,10,9
bits_per_byte,openbookqa,bits_per_byte,,0.0025176924283516586,,0.01032264191747785,0,8
bits_per_byte,piqa,bits_per_byte,0.004186985926462246,0.002022357381622788,0.004183406249887976,0.003619330183244338,10,9
bits_per_byte,socialiqa,bits_per_byte,0.005124562477548074,0.003260014950938171,0.008165988809996623,0.010979009125972904,10,9
bits_per_byte,winogrande,bits_per_byte,0.009515240030780862,0.00723924776606593,0.023211220470631115,0.00981573425887131,10,9
