metric_mode,task,metric,n_init,n_order,sd_init,sd_order,ratio,ci_lo_F,ci_hi_F,ci_lo_bs,ci_hi_bs,share_init,bundled_pred,mean_init,mean_order
primary_like,arc_challenge,acc_per_char,10,9,0.01810790801743637,0.024080965670680233,0.7519593800793315,0.36023755461165846,1.5229647937668809,0.42737683036410873,1.7531747426242714,0.3612031495584865,0.030129540992195954,0.3646473258733749,0.3687902887662251
primary_like,arc_easy,acc_per_char,10,9,0.008690202626406511,0.008515643367410187,1.0204986577601842,0.4888853715970995,2.066845057097568,0.6444573432364397,4.415408514855827,0.5101443017602972,0.012166996492516948,0.6845819274584451,0.6877416129465456
primary_like,copycolors,acc,10,9,0.12661552682325247,0.10714286888892624,1.1817447874623677,0.5661327774987064,2.393421445627605,0.6978035198995504,2.2358389700279884,0.5827284186676093,0.16586466165666333,0.08366666734218593,0.0777777785228358
primary_like,csqa,acc_per_char,10,9,0.012512469665855369,0.015922849602031195,0.7858184922037584,0.3764582762040119,1.5915406199082707,0.28971347283696414,1.754008407712288,0.38176606909782496,0.020250902117877508,0.6012284994125366,0.6090029389769943
primary_like,hellaswag,acc_per_char,10,9,0.004275830345756035,0.012350262642815364,0.346213717830807,0.16585893651758532,0.7011965238332862,0.14868687696159394,1.2591049616402532,0.10703437650109675,0.013069495494938162,0.600266663233439,0.5962962927641693
primary_like,mmlu,acc_per_char,10,9,0.004009921492320612,0.005428959994525178,0.738616879911513,0.35384562738767267,1.4959418473754515,0.4322559980594649,1.2608473058543077,0.35298318872573997,0.006749301963664804,0.3420006108492612,0.3441185329181176
primary_like,piqa,acc_per_char,10,9,0.006686980710186417,0.006406641538713715,1.0437575865262139,0.5000279144571637,2.113952029348726,0.4770251444247079,3.0291598661473986,0.5214005503260435,0.009260710924328503,0.7386289457480113,0.7379599412282309
primary_like,socialiqa,acc_per_char,10,9,0.01228872074023366,0.01882303786007152,0.6528553377827063,0.3127602589028129,1.3222465484251966,0.36525704230658285,1.188582718035398,0.2988459456158345,0.022479310748177637,0.5134595751762391,0.5064255639358803
primary_like,winogrande,acc_per_char,10,9,0.012870986539832601,0.014536611313411121,0.8854186345312917,0.424173236162698,1.793263630801493,0.505946871727825,1.5881685329639386,0.4394512500670149,0.019415853393187337,0.5865298628807067,0.5844953082225941
bits_per_byte,arc_challenge,bits_per_byte,10,9,0.006207483037134717,0.006882007258002918,0.9019872842935739,0.43211069931789114,1.8268205900424932,0.46603809092643383,2.215627650177878,0.4486047403728656,0.009267948508462921,0.9618736684322355,0.9593561048860904
bits_per_byte,arc_easy,bits_per_byte,10,9,0.015230177851802158,0.010615641116895001,1.434692232347892,0.6873110903235498,2.905723124999302,0.6739411052324493,4.053648417021381,0.6730254285213891,0.018564755687060272,0.7292343497276306,0.7213118208779229
bits_per_byte,copycolors,bits_per_byte,10,9,0.0786040558705117,0.06317417121178188,1.2442435628795738,0.5960737644974221,2.5200019992260003,0.5419239627528291,2.3452231693734658,0.6075571993931832,0.10084430329765809,4.228914038340251,4.37690680998343
bits_per_byte,csqa,bits_per_byte,10,9,0.0132598107003045,0.010879336976294842,1.2188068748303789,0.5838879329977275,2.468484348944322,0.5833093616830232,3.9689351883923885,0.5976648788432802,0.017151750722643036,1.0576028982798258,1.0648577522348477
bits_per_byte,gsm8k,bits_per_byte,10,9,0.012267934125967845,0.009035454508382846,1.3577550652915127,0.6504531726575521,2.749900084735259,0.7791286360645872,3.0125312393858903,0.6483205852215451,0.0152361952564327,0.6356886367003123,0.6302404116701197
bits_per_byte,hellaswag,bits_per_byte,10,9,0.003994581123639584,0.0021295854382107912,1.875755277043828,0.8986090365424986,3.799020697579183,1.0240735307139963,3.2533036976899314,0.7786855535392477,0.004526788319766801,0.770818167924881,0.7694840828577677
bits_per_byte,humaneval,bits_per_byte,10,9,0.029611343091017116,0.03431304047213512,0.8629763694378483,0.4134219284306823,1.7478106707944088,0.40093403868908,1.6753981525800477,0.4268448278324744,0.04532346396841607,0.685381829738617,0.6710964882815326
bits_per_byte,mbpp,bits_per_byte,10,9,0.008791454905706939,0.013340287177770485,0.6590154161266132,0.31571133793395834,1.3347227309067906,0.3301708287132705,1.3892542108886081,0.302796429894124,0.01597663736036048,0.8563177744547528,0.868712528988167
bits_per_byte,minerva_math_algebra,bits_per_byte,10,9,0.004843007562617188,0.0035291525186408753,1.3722862746896232,0.6574145690810836,2.7793305578571474,0.6200986526897224,3.4123905939210006,0.6531594973924831,0.005992465248242706,0.8102502524852753,0.8042776695004217
bits_per_byte,minerva_math_counting_and_probability,bits_per_byte,10,9,0.005039568275087533,0.0058543344922421265,0.8608268423619659,0.4123921648584722,1.7434571722590595,0.43113114892570054,1.8958499773055433,0.42562500052981506,0.007724667031421135,0.7064589063326518,0.7045922036524173
bits_per_byte,minerva_math_geometry,bits_per_byte,10,9,0.00520937619049227,0.005863428330417233,0.8884522666488496,0.42562654367447494,1.7994077325105424,0.515215638940239,1.9586767815830415,0.441137040705068,0.007843302370813406,0.7938832660516103,0.7969708221930045
bits_per_byte,minerva_math_intermediate_algebra,bits_per_byte,10,9,0.005258239715119763,0.004098319140959335,1.2830234870115347,0.6146518757723283,2.5985440863686544,0.6193045257985902,4.2635066343286425,0.6220923694635518,0.006666731184232377,0.7816586474577586,0.7801711007400794
